track_id,chords
10,"N 9.7s, F#:maj 2.2s, B:maj 1.0s, F#:maj 2.7s, Ab:min 1.4s, F#:maj 1.4s, C#:maj/5 0.9s, B:maj 1.1s, F#:maj 1.0s, B:maj 1.2s, C#:maj 0.6s, B:maj 1.5s, F#:maj 0.9s, B:maj 1.2s, F#:maj 1.0s, B:maj 1.2s, F#:maj 1.0s, B:maj 2.1s, F#:maj 1.2s, C#:maj 0.6s, B:maj 2.6s, F#:maj 2.2s, B:maj 1.0s, F#:maj 3.3s, B:maj 1.0s, F#:maj 3.3s, B:maj 1.0s, F#:maj 3.2s, Ab:min 0.9s, F#:maj 1.4s, C#:maj 0.9s, B:maj 1.2s, F#:maj 0.8s, B:maj 3.2s"
141,"N 0.9s, F:maj 3.6s, Bb:maj 3.5s, G:min 1.3s, E:dim 0.6s, D:min 1.2s, F:maj/3 0.5s, Bb:maj 3.6s, F:maj 3.6s, Bb:maj 3.5s, G:min 1.8s, F:maj 1.7s, Bb:maj 3.6s, G:min 1.9s, D:min 1.8s, Bb:maj 3.7s, Eb:maj 1.9s, D:min 1.7s, C:min 1.8s, C:maj 2.0s, G:min 1.9s, D:min 1.9s, Bb:maj 3.6s, Eb:maj 1.9s, Bb:maj 2.0s, G:min 3.6s, C:maj 1.1s"
153,"N 0.0s, C#:maj 10.4s, C:maj 10.6s, C#:maj 10.4s, C:maj 10.6s, A:maj 10.9s, F:maj 5.3s, Ab:maj 1.8s"
173,"N 35.5s, E:maj 2.1s, Ab:maj 2.6s, E:maj 3.1s, B:maj 2.9s, F#:maj 2.9s, Ab:maj 2.7s, B:maj 1.6s, F#:maj 1.5s, Ab:maj 2.8s, E:maj 2.4s"
181,"N 4.1s, B:maj 3.5s, F#:maj 2.4s, C#:maj 2.2s, F#:maj 2.5s, B:maj 2.2s, D:maj 1.6s, B:maj 4.9s, Eb:min 1.2s, Ab:min 3.1s, F#:maj 1.4s, Eb:min 1.1s, Ab:min 3.5s, F#:maj 2.1s, Ab:min 0.8s, F#:maj 2.5s, Ab:min 1.1s, C#:maj 2.0s, F#:maj 2.3s, E:maj 2.4s, A:maj 2.5s, E:maj 2.6s, A:maj 3.0s, B:maj 4.9s"
184,"N 0.7s, Bb:maj 2.7s, F:maj 1.3s, F:min7 1.9s, Eb:maj/3 0.7s, Bb:maj 3.7s, F:maj 1.3s, F:min7 1.9s, Eb:maj/3 0.8s, Bb:maj 3.7s, F:maj 1.3s, F:min7 1.8s, Eb:maj/3 0.8s, Bb:maj 1.5s, C:maj 2.5s, Ab:maj 1.1s, Bb:min 0.6s, Eb:maj 1.1s, F#:maj 1.0s, C#:maj 1.0s, Ab:maj 2.0s, Ab:maj/2 0.7s, Eb:maj 1.0s, B:maj 1.0s, C#:maj 2.6s, B:maj 0.9s, C#:maj 1.1s, Bb:min 0.7s, Eb:maj 3.6s, Bb:maj 2.6s, F:min 3.1s, C:min/5 0.8s, Bb:maj 3.7s, F:min 3.9s, Bb:maj/5 0.8s"
213,"N 5.2s, G:maj 8.6s, D:maj 3.3s, B:min 3.0s, D:maj 3.6s, B:min/b3 3.4s, D:maj 16.9s, B:min 2.4s, D:maj 4.3s, G:maj 1.7s, D:maj 7.6s"
251,"N 1.0s, A:maj 26.6s, D:maj 2.3s, E:maj 2.4s, A:maj 4.6s, D:maj 2.3s, E:maj 2.4s, A:maj 18.4s"
331,"N 5.8s, A:maj 4.5s, E:min 2.9s, A:maj 5.1s, D:maj 0.6s, G:maj 1.7s, A:maj 3.8s, A:min7 1.0s, E:min7 1.0s, A:7 33.6s"
347,"N 0.2s, A:min 0.9s, E:min 2.0s, A:min 34.1s, E:min 2.1s, A:min 1.9s, E:min 1.6s, A:min7 1.8s, E:min 1.6s, A:min 13.8s"
384,"N 0.0s, Ab:maj 29.7s, Eb:maj 2.6s, Ab:maj 27.7s"
411,"N 13.7s, F:maj 6.1s, E:min 2.1s, G:maj 38.0s"
532,"N 10.0s, Eb:min 12.3s, C#:maj 10.7s, Eb:min 6.8s, Ab:sus4 12.1s, F#:maj/2 1.2s, Ab:maj 1.8s, F#:maj 1.8s, Ab:maj 1.8s, F#:maj 1.5s"
533,"N 1.0s, G:min 2.8s, N 15.6s, F:min 5.1s, C:min 4.2s, F:min 4.7s, C:min 4.9s, G:min 4.7s, F:min/2 4.1s, G:min 4.8s, F:min/2 4.2s, C:maj 0.9s, G:min 1.4s, C:maj 1.8s"
534,"N 12.5s, Ab:min 4.9s, N 2.1s, Ab:min 9.7s, Bb:maj 10.0s, D:maj 3.0s, Ab:maj 6.8s, Bb:maj 9.7s, A:maj 1.3s"
535,"N 56.7s, F:maj 2.0s, Bb:maj 1.3s"
536,"N 0.0s, E:maj/5 3.9s, N 56.1s"
538,"N 12.2s, Ab:maj 5.1s, N 1.6s, Bb:maj 7.0s, N 2.6s, Ab:maj 5.1s, B:maj 4.7s, N 21.7s"
540,"N 14.7s, C:maj 6.1s, F:maj 3.9s, C:maj 6.9s, C#:maj 2.0s, F#:maj 3.6s, Ab:maj 8.6s, Bb:min 8.1s, Eb:maj/5 6.1s"
542,N 60.0s
546,"N 1.3s, Ab:maj 13.7s, C#:maj 1.0s, Ab:maj 5.1s, N 2.4s, Bb:min 3.7s, N 32.9s"
547,"N 0.0s, C:maj 24.8s, F:maj 4.9s, C:maj 3.0s, Ab:maj 10.8s, G:maj 2.4s, Ab:maj 5.9s, G:maj 4.9s, Ab:maj 1.3s, C#:maj 1.0s, C:maj 0.9s"
549,"N 45.9s, D:maj 6.0s, D:maj/3 1.7s, F:min 4.0s, G:maj/b7 1.3s, D:maj 1.1s"
564,"N 1.9s, C:maj 15.6s, C:min 12.2s, C:maj 30.3s"
