track_id,chroma_activations
10,"C:0.034, C#:0.142, D:0.037, D#:0.112, E:0.039, F:0.066, F#:0.217, G:0.067, G#:0.082, A:0.031, A#:0.094, B:0.078"
141,"C:0.034, C#:0.025, D:0.103, D#:0.129, E:0.105, F:0.137, F#:0.047, G:0.057, G#:0.024, A:0.112, A#:0.199, B:0.029"
153,"C:0.071, C#:0.094, D:0.073, D#:0.067, E:0.094, F:0.069, F#:0.063, G:0.130, G#:0.137, A:0.080, A#:0.041, B:0.082"
173,"C:0.061, C#:0.058, D:0.063, D#:0.074, E:0.092, F:0.079, F#:0.113, G:0.070, G#:0.141, A:0.085, A#:0.081, B:0.084"
181,"C:0.067, C#:0.096, D:0.056, D#:0.071, E:0.080, F:0.066, F#:0.115, G:0.075, G#:0.083, A:0.069, A#:0.100, B:0.123"
184,"C:0.118, C#:0.055, D:0.059, D#:0.100, E:0.056, F:0.179, F#:0.041, G:0.057, G#:0.055, A:0.043, A#:0.186, B:0.053"
213,"C:0.028, C#:0.031, D:0.102, D#:0.014, E:0.014, F:0.017, F#:0.269, G:0.068, G#:0.032, A:0.191, A#:0.046, B:0.190"
251,"C:0.014, C#:0.054, D:0.030, D#:0.029, E:0.194, F:0.052, F#:0.071, G:0.077, G#:0.141, A:0.260, A#:0.058, B:0.021"
331,"C:0.042, C#:0.025, D:0.030, D#:0.052, E:0.077, F:0.063, F#:0.076, G:0.067, G#:0.168, A:0.299, A#:0.056, B:0.045"
347,"C:0.062, C#:0.035, D:0.046, D#:0.083, E:0.134, F:0.092, F#:0.084, G:0.112, G#:0.112, A:0.124, A#:0.064, B:0.053"
384,"C:0.027, C#:0.021, D:0.053, D#:0.222, E:0.046, F:0.038, F#:0.034, G:0.095, G#:0.250, A:0.139, A#:0.058, B:0.017"
411,"C:0.038, C#:0.047, D:0.068, D#:0.041, E:0.041, F:0.109, F#:0.101, G:0.318, G#:0.083, A:0.055, A#:0.045, B:0.054"
532,"C:0.047, C#:0.176, D:0.087, D#:0.131, E:0.062, F:0.035, F#:0.073, G:0.057, G#:0.109, A:0.060, A#:0.102, B:0.062"
533,"C:0.142, C#:0.137, D:0.127, D#:0.085, E:0.033, F:0.091, F#:0.058, G:0.154, G#:0.058, A:0.036, A#:0.042, B:0.038"
534,"C:0.040, C#:0.032, D:0.077, D#:0.110, E:0.028, F:0.039, F#:0.040, G:0.105, G#:0.161, A:0.102, A#:0.167, B:0.101"
535,"C:0.153, C#:0.104, D:0.051, D#:0.044, E:0.023, F:0.037, F#:0.035, G:0.042, G#:0.058, A:0.061, A#:0.238, B:0.153"
536,"C:0.037, C#:0.031, D:0.033, D#:0.061, E:0.046, F:0.027, F#:0.041, G:0.085, G#:0.134, A:0.076, A#:0.209, B:0.222"
538,"C:0.077, C#:0.070, D:0.068, D#:0.098, E:0.053, F:0.051, F#:0.055, G:0.122, G#:0.150, A:0.062, A#:0.104, B:0.091"
