zenodo_id,classification
4245576,NONE
4245412,source-separation
4245492,NONE
4245586,NONE
4245474,NONE
4245388,NONE
4245584,NONE
4245372,NONE
4245438,cover-song-identification
4245446,NONE
4245526,source-separation
4245420,NONE
4245530,NONE
4245482,NONE
4245486,NONE
4245568,NONE
4245454,audio-beat-tracking
4245554,NONE
4245544,NONE
4245416,NONE
4245396,NONE
4245464,NONE
4245466,multi-f0-estimation
4245362,NONE
4245566,NONE
4245550,NONE
4245418,NONE
4245378,audio-key-detection
4245430,NONE
4245562,NONE
4245494,NONE
4245498,audio-beat-tracking
4245406,NONE
4245442,NONE
4245472,NONE
4245552,NONE
4245548,source-separation
4245536,source-separation
4245556,NONE
4245570,cover-song-identification
4245376,NONE
4245448,source-separation
4245558,NONE
4245528,NONE
4245390,NONE
4245384,NONE
4245514,NONE
4245574,NONE
4245400,NONE
4245444,NONE
4245374,audio-melody-extraction
4245364,NONE
4245426,NONE
4245458,NONE
4245538,NONE
4245534,NONE
4245506,NONE
4245582,NONE
4245500,NONE
4245546,NONE
4245382,NONE
4245532,NONE
4245404,source-separation
4245432,NONE
4245522,NONE
4245440,NONE
4245368,NONE
4245414,NONE
4245580,NONE
4245470,NONE
4245468,NONE
4245402,audio-key-detection
4245488,NONE
3968828,NONE
4245456,NONE
4245386,NONE
4245504,NONE
4245484,lyrics-transcription
4245502,multi-f0-estimation
4245460,NONE
4245520,NONE
4245436,multi-f0-estimation
4245424,cover-song-identification
4245370,NONE
4778563,NONE
4245572,NONE
4245356,NONE
4245450,NONE
4245510,NONE
4245490,multi-f0-estimation
4245410,NONE
4245476,NONE
4245428,NONE
4245434,multi-f0-estimation
4245360,NONE
4245542,NONE
4245452,NONE
4245478,NONE
4245508,NONE
4245512,NONE
4245408,audio-beat-tracking
4245380,NONE
4245564,NONE
4245358,NONE
4245518,NONE
4245560,source-separation
4245578,NONE
4245394,NONE
4245366,NONE
4245422,NONE
4245524,NONE
4245462,NONE
4245496,NONE
4245540,NONE
4245398,NONE
4245480,NONE
4245516,NONE
5624643,lyrics-transcription
5624429,NONE
5624605,NONE
5624391,audio-beat-tracking
5624579,NONE
5624369,NONE
5624569,NONE
5625702,NONE
5624411,multi-f0-estimation
5624517,audio-beat-tracking
5624537,NONE
5624423,NONE
5624615,audio-instrument-recognition
5624499,NONE
5624371,NONE
5624639,audio-beat-tracking
5624417,NONE
5624375,NONE
5624597,NONE
5624441,NONE
5624399,NONE
5655391,NONE
5624431,NONE
5625692,NONE
5624387,NONE
5624635,NONE
5624491,NONE
5624363,NONE
5624479,NONE
5624447,NONE
5625682,audio-instrument-recognition
5624443,NONE
5624567,NONE
5625680,NONE
5624379,NONE
5624601,NONE
5624515,NONE
5624543,NONE
5624483,NONE
5625696,NONE
5624563,NONE
5624461,multi-f0-estimation
5624555,NONE
5624645,NONE
5625665,lyrics-transcription
5624481,NONE
5625706,NONE
5624435,NONE
5624541,NONE
5624613,NONE
5625676,NONE
5624427,NONE
5624425,NONE
5624633,NONE
5776687,NONE
5625684,NONE
5625643,NONE
5624535,NONE
5625698,NONE
5625667,NONE
5624625,NONE
5624409,NONE
5625688,lyrics-transcription
5624383,audio-melody-extraction
5624549,NONE
5624583,NONE
5676067,NONE
5624359,NONE
5624395,cover-song-identification
5624403,NONE
5624623,source-separation
5624469,NONE
5624649,NONE
5624471,NONE
5625669,NONE
5624577,audio-beat-tracking
5624631,NONE
5624507,NONE
5624513,NONE
5624587,multi-f0-estimation
5624591,NONE
5624477,audio-key-detection
5624609,NONE
5625645,NONE
5624545,NONE
5624539,audio-chord-estimation
5624489,audio-instrument-recognition
5624503,audio-melody-extraction
5624463,audio-chord-estimation
5624405,NONE
5624455,NONE
5624451,NONE
5624573,NONE
5624529,NONE
5625663,NONE
5624475,source-separation
5624355,NONE
5625674,NONE
5624351,NONE
5624619,NONE
5624533,audio-chord-estimation
5624531,NONE
5624519,NONE
5624651,audio-beat-tracking
5624527,NONE
7316800,NONE
7316708,source-separation
7342698,NONE
7342840,multi-f0-estimation
7316744,NONE
7316672,multi-f0-estimation
7316612,NONE
7316596,NONE
7343047,NONE
7316778,source-separation
7342796,lyrics-transcription
7316658,NONE
7343078,NONE
7316694,NONE
7342704,NONE
7342730,audio-beat-tracking
7316640,NONE
7343073,NONE
7316678,audio-instrument-recognition
7316702,NONE
7316746,NONE
7342596,NONE
7316786,NONE
7520537,NONE
7316706,audio-melody-extraction
6868083,NONE
7342777,source-separation
7316740,source-separation
7316692,NONE
7416690,NONE
7316594,NONE
7342764,NONE
11260479,NONE
7316618,NONE
7342755,NONE
7342932,NONE
7316780,NONE
7316604,NONE
7316682,NONE
7316782,NONE
7316716,NONE
7316792,NONE
7316752,cover-song-identification
7316638,NONE
7316776,NONE
7316814,NONE
7342745,NONE
7342846,NONE
7316628,NONE
7316742,lyrics-transcription
7316670,audio-key-detection
7316654,NONE
7316806,NONE
7316676,audio-key-detection
7316616,NONE
7316730,NONE
7316762,multi-f0-estimation
7316590,multi-f0-estimation
7316614,NONE
7316592,NONE
7316656,NONE
7385261,audio-beat-tracking
7316770,NONE
7343060,NONE
7316804,NONE
7316714,multi-f0-estimation
7343083,NONE
7343063,NONE
7316720,NONE
7316754,source-separation
7372149,NONE
7316790,NONE
7316602,audio-beat-tracking
7316634,NONE
7342678,NONE
7316632,NONE
7316630,NONE
7316642,NONE
7316712,NONE
7343091,NONE
7316698,lyrics-transcription
7316600,NONE
7316690,NONE
7316756,audio-instrument-recognition
7316588,NONE
7316738,audio-beat-tracking
7343094,NONE
7316734,NONE
7342531,NONE
7402960,NONE
7316688,NONE
7316758,NONE
7316722,NONE
7342809,NONE
7316748,NONE
7316768,NONE
7316660,NONE
7316622,audio-beat-tracking
7316608,NONE
7316788,NONE
7316652,NONE
7316650,NONE
7342816,NONE
7316816,NONE
7316644,NONE
7316766,source-separation
7316666,NONE
7316610,NONE
7316724,NONE
7343071,NONE
7316584,NONE
7342916,NONE
7316750,NONE
7316646,NONE
10265421,NONE
10265301,NONE
10265347,source-separation
10265253,NONE
10265267,NONE
10265299,NONE
10265275,NONE
10265400,NONE
10265237,NONE
10265397,NONE
10265353,audio-instrument-recognition
10265339,NONE
10265393,NONE
10265367,NONE
10265236,NONE
10265309,NONE
10265229,NONE
10265279,multi-f0-estimation
10265351,NONE
10265329,NONE
10265219,NONE
10265297,NONE
10265359,NONE
13916489,NONE
10265227,NONE
10265337,NONE
