E:min/b3 1.2s
D:maj 0.8s
C:9 4.0s
G:maj 3.0s
A:min7 0.5s
G:maj/3 0.5s
C:9 4.0s
G:maj 2.5s
A:min7 1.0s
G:maj/3 0.5s
A:min 2.0s
E:min 1.0s
D:maj/9 1.0s
C:9 4.0s
G:maj 4.0s
D:maj 2.0s
C:maj 2.0s
E:min 3.5s
B:min/b3 0.5s
C:maj 2.0s
D:7 2.0s
G:maj 1.0s
C:maj 1.0s
G:maj 0.8s
A:min7 0.8s
G:maj/3 0.5s
C:9 4.0s
G:maj 2.8s
A:min7 0.8s
G:maj/3 0.5s
C:9 4.0s
G:maj 2.8s
G:(3,*5) 0.1s
G:(3,*5) 1.1s
D:maj 2.0s
C:maj 2.0s
E:min 2.0s
G:(3,*5) 1.0s
G:(3,*5) 0.0s
F#:(b3,*5) 0.5s
B:min/b3 0.0s
E:(b3,*5) 0.5s
C:maj 0.0s
C:(3,*5) 1.0s
C:(3,*5) 1.0s
D:7 2.0s
G:maj 1.0s
C:maj 1.0s
G:maj 1.0s
A:min7 0.0s
G:maj/3 1.0s
C:maj 2.0s
G:maj 1.0s
G:7 1.0s
C:maj 2.0s
G:maj 2.0s
