Eb:(5) 12.0s
Eb:maj 4.0s
Bb:maj 4.0s
C:min7 4.0s
Ab:maj 4.0s
F:7 4.0s
Ab:maj 4.0s
Eb:maj 4.0s
Bb:maj 4.0s
C:min 4.0s
Ab:maj 2.0s
Bb:7 2.0s
Eb:maj 8.0s
Bb:maj 4.0s
C:min7 4.0s
Ab:maj 4.0s
F:7 4.0s
Ab:maj 4.0s
Eb:maj 4.0s
Bb:maj 4.0s
C:min 4.0s
Ab:maj 2.0s
Bb:maj 2.0s
Eb:maj 4.0s
Bb:maj 4.0s
C:min 4.0s
Ab:maj 2.0s
Bb:7 2.0s
Eb:maj 4.0s
Bb:maj 4.0s
C:min7 4.0s
Ab:maj 2.0s
Bb:maj 2.0s
Eb:maj 8.0s
Bb:maj 4.0s
C:min7 4.0s
Ab:maj 4.0s
Eb:maj 4.0s
Bb:maj 4.0s
C:min 4.0s
Ab:maj 2.0s
Bb:7 2.0s
Eb:maj 4.0s
Bb:maj 4.0s
C:min7 4.0s
Ab:maj 2.0s
Bb:maj 2.0s
Eb:maj 2.0s
