Eb:maj/5 2.0s
Eb:(3,3,*5)/3 1.5s
C:min/5 0.8s
Eb:(3,3,*5)/3 4.8s
F:(b3,*5) 1.0s
Eb:(1,*3,5) 0.2s
Eb:(*3,5,7) 0.2s
Eb:(*3,5,7) 0.5s
Ab:maj/5 0.2s
Eb:maj 0.2s
D:dim 0.2s
D:dim/b5 0.2s
Eb:(3,*5)/3 3.2s
F:(b3,*5) 0.2s
F:(b3,*5) 0.2s
E:(b3,*5) 0.2s
G:(b3,*5) 0.2s
F:(b3,*5) 0.2s
Eb:(3,*5) 0.5s
G:(b3,*5)/b3 0.4s
G:(b3,*5)/b3 0.1s
G:(b3,*5)/b3 1.0s
Eb:(3,*5) 0.4s
Eb:(3,*5) 0.1s
Ab:(*3,5,5)/5 0.2s
Eb:(3,*5) 0.2s
F:(*3,5)/5 0.5s
F:(*3,5)/5 0.4s
F:(*3,5)/5 0.1s
F:(*3,5,5,b7)/5 0.5s
D:(b3,*5) 0.5s
Bb:(*3,5)/5 0.4s
Bb:(*3,5)/5 0.1s
G:(b3,*5) 0.5s
