D:min 3.0s
A:7(b9) 1.0s
D:min6 2.0s
E:hdim7 1.0s
A:7(b9) 1.0s
D:min6 1.0s
D:maj 1.0s
D:min7/b7 2.0s
B:hdim7 2.0s
E:7 2.0s
A:7(#5,#9,#11) 2.0s
D:9 2.0s
G:(3,5,b7,9,11,13) 2.0s
C:9 2.0s
C:min7 1.0s
F:7 1.0s
Bb:maj7 1.0s
Eb:maj7 1.0s
E:min7 2.0s
Eb:9 2.0s
D:min6 2.0s
E:hdim7 1.0s
A:7(b9) 1.0s
D:min6 2.0s
E:hdim7 1.0s
A:7(b9) 1.0s
D:min6 1.0s
D:maj 1.0s
D:min7/b7 2.0s
B:hdim7 2.0s
E:7 2.0s
A:7(#5,#9,#11) 2.0s
D:9 2.0s
G:(3,5,b7,9,11,13) 2.0s
C:9 2.0s
C:min7 1.0s
F:7 1.0s
Bb:maj7 1.0s
Eb:maj7 1.0s
E:min7 2.0s
A:7(#5,#9,#11) 2.0s
