Eb:maj6 0.8s
F:min7 1.0s
Bb:7 1.0s
G:min7 1.0s
C:7 1.0s
F:min7 1.0s
Bb:7 1.0s
Eb:maj7 1.0s
C:7 1.0s
F:min7 1.0s
Bb:7 1.0s
G:min7 1.0s
C:7 1.0s
F:min7 1.0s
Bb:7 1.0s
Eb:maj7 1.0s
C:7 1.0s
Eb:maj7 1.0s
Eb:7 1.0s
Ab:maj7 1.0s
Ab:min7 1.0s
G:min7 1.0s
C:7 1.0s
F:min7 1.0s
Bb:7 1.0s
Eb:maj7 1.0s
Eb:7 1.0s
Ab:maj 1.0s
Ab:min7 1.0s
G:min7 1.0s
C:7 1.0s
F:min7 1.0s
Bb:7 1.0s
G:min7 1.0s
C:7 1.0s
F:min7 1.0s
Bb:7 1.0s
Eb:maj7 1.0s
C:7 1.0s
F:min7 1.0s
Bb:7 1.0s
Eb:maj7 1.0s
C:7 1.0s
F:min7 1.0s
Ab:min7 1.0s
G:min7 1.0s
C:7 1.0s
F:min7 1.0s
Bb:7 1.0s
Eb:maj7 3.0s
