G:maj 1.5s
C:min9 1.0s
Gb:maj 1.0s
F:min7 1.0s
Bb:7(b9) 1.0s
Eb:maj7 1.0s
Ab:9 1.0s
G:min7(b5) 1.0s
C:7(b9) 1.0s
F:min7 1.0s
Ab:min7 1.0s
B:min7 1.0s
Bb:7 1.0s
Eb:maj7 1.0s
A:7(#11) 1.0s
D:min7(b5) 1.0s
G:9 1.0s
C:min9 1.0s
Gb:maj 1.0s
F:min7 1.0s
Bb:7(b9) 1.0s
Eb:maj7 1.0s
Ab:9 1.0s
G:min7(b5) 1.0s
C:7(b9) 1.0s
F:min7 1.0s
Ab:min7 1.0s
B:min7 1.0s
Bb:7 1.0s
Eb:maj9 1.0s
Bb:(b3,5,b7,9,11) 1.0s
A:min7(b5) 1.0s
D:7(b9) 1.0s
G:min7 2.0s
C:min7 2.0s
D:7(b9) 1.0s
G:min7 1.0s
F:7(b9) 1.0s
C:min9 1.0s
Bb:maj7 2.0s
F:min7 2.0s
D:min7(b5) 1.0s
G:7 3.0s
C:min9 1.0s
Gb:maj 1.0s
F:min7 1.0s
Bb:7(b9) 1.0s
Eb:maj7 1.0s
Ab:9 1.0s
G:min7(b5) 2.0s
F:min7 1.0s
Ab:min7 1.0s
B:min7 1.0s
Bb:7 1.0s
Eb:maj9 4.0s
