F:maj(9) 7.0s
Bb:maj7 0.5s
C:maj 0.5s
F:maj 2.0s
G:min/b3 0.5s
D:7/5 0.5s
G:min 1.0s
F:maj/5 1.0s
G:min7 0.5s
C:7 0.5s
F:maj 0.5s
F:maj/3 0.5s
Bb:maj7 0.5s
C:maj 0.5s
F:maj 1.0s
F:7/5 1.0s
Bb:maj6 0.5s
D:maj/5 0.5s
G:min 1.0s
F:maj/5 1.0s
G:min7 0.5s
C:7 0.5s
F:maj 1.0s
G:min7 0.5s
F:maj/3 0.5s
Bb:maj 2.0s
F:maj 2.0s
G:maj 1.0s
G:7 1.0s
C:maj 1.0s
D:min7 0.5s
C:maj/3 0.5s
F:maj 2.0s
G:min/b3 0.5s
D:maj/5 0.5s
G:min 1.0s
F:maj/5 1.0s
G:min7/4 0.5s
C:7 0.5s
F:maj 2.5s
F:maj/3 0.5s
Bb:maj7 0.5s
C:maj 0.5s
F:maj 2.0s
G:min/b3 0.5s
D:7/5 0.5s
G:min 1.0s
F:maj/5 1.0s
G:min7 0.5s
C:7 0.5s
F:maj 0.5s
F:maj/3 0.5s
Bb:maj7 0.5s
C:maj 0.5s
F:maj 1.0s
F:7/5 1.0s
Bb:maj6 0.5s
D:maj/5 0.5s
G:min 1.0s
F:maj/5 1.0s
G:min7 0.5s
C:7 0.5s
F:maj 1.0s
G:min7 0.5s
F:maj/3 0.5s
Bb:maj 2.0s
F:maj 2.0s
G:maj 1.0s
G:7 1.0s
C:maj 1.0s
D:min7 0.5s
C:maj/3 0.5s
F:maj 2.0s
G:min/b3 0.5s
D:maj/5 0.5s
G:min 1.0s
F:maj/5 1.0s
G:min7/4 0.5s
C:7 0.5s
Db:maj 2.0s
G:min9 2.0s
Bb:maj/9 1.0s
C:7 1.0s
F:maj 3.5s
C:7 0.5s
F:maj 2.0s
