E:(1,*3,*5) 0.5s
C:maj 1.0s
C:maj6 2.5s
C:maj6 2.0s
F:maj 1.5s
F:maj6 3.0s
F:maj6 1.5s
C:maj 3.5s
C:maj7 1.0s
C:maj6 1.5s
F:maj 1.5s
F:maj6 1.5s
F:maj7 1.5s
F:maj6 1.5s
C:maj 1.5s
C:maj6 1.5s
C:maj7 1.5s
C:maj6 1.5s
F:maj 1.5s
F:maj6 1.5s
F:maj7 3.0s
C:maj 1.5s
C:maj6 1.5s
C:maj7 1.5s
C:maj6 1.5s
F:maj 1.5s
F:maj6 3.0s
F:maj6 1.5s
C:maj 3.0s
E:7 3.5s
A:min7 2.5s
D:9 3.0s
C:maj7 3.0s
D:min7 4.5s
G:9 1.5s
C:maj6 3.0s
C:maj7 3.0s
B:hdim7 1.5s
E:7(b9) 1.5s
C:maj7 3.0s
B:hdim7 1.5s
E:7 1.5s
E:min7 1.5s
E:7 1.5s
F:maj7 3.0s
D:maj6(9) 1.5s
D:(3,#5,b7) 3.0s
G:9 3.0s
C:maj 1.5s
C:maj6 1.5s
C:maj7 1.5s
C:maj6 1.5s
F:maj 1.5s
F:maj6 1.5s
F:maj7 1.5s
F:maj6 1.5s
C:maj 3.0s
D:9 4.5s
G:9 1.5s
C:maj6 3.0s
