C:maj/5 0.5s
G:maj 1.5s
A:maj7 2.0s
C:9 1.0s
D:7 1.0s
G:maj 3.0s
D:maj 1.0s
A:min7 2.0s
C:maj 1.0s
D:7 1.0s
G:maj 3.0s
D:maj 3.0s
C:maj 1.0s
D:maj 1.0s
G:maj 3.0s
D:9 1.0s
A:min7 4.0s
G:maj 3.0s
D:9 1.0s
A:min7 4.0s
G:maj 3.0s
D:maj 1.0s
A:min7 4.0s
C:maj 1.0s
B:min7 1.0s
E:min 1.0s
A:7 1.0s
C:9 1.0s
B:min7 1.0s
E:min7 2.0s
C:maj 1.0s
D:maj 1.0s
E:min 2.0s
C:maj 1.0s
D:9 1.0s
E:min7 2.0s
C:maj 1.0s
D:maj 1.0s
E:min 6.0s
G:maj 3.0s
D:9 1.0s
A:min7 4.0s
G:maj 3.0s
D:maj 1.0s
A:min7 4.0s
C:maj 1.0s
B:min7 1.0s
E:min 1.0s
A:7 1.0s
C:9 1.0s
B:min7 1.0s
E:min7 2.0s
C:maj 1.0s
D:maj 1.0s
E:min 2.0s
C:maj 1.0s
D:9 1.0s
E:min7 2.0s
C:maj 1.0s
D:maj 1.0s
E:min 4.0s
