A:min 16.0s
E:maj 2.0s
F:maj 1.0s
E:maj 5.0s
F:maj 3.5s
E:maj 2.0s
D:min7 0.5s
G:7 1.5s
C:maj 2.0s
C:maj6 2.0s
E:min 2.0s
C:maj 0.5s
C:maj9 1.0s
Eb:dim 0.5s
D:min7 0.2s
G:7 3.8s
G:7 6.0s
G:9 2.0s
G:7 2.0s
D:min7 0.5s
G:7 1.5s
C:maj 0.5s
C:maj6 7.5s
C:maj 2.0s
C:maj6 2.0s
E:min 2.0s
C:maj 2.0s
E:min 8.0s
B:7 1.5s
B:(3,#5,b7) 0.5s
B:7 2.0s
C:maj 0.5s
E:min 2.0s
C:maj 1.0s
E:min 0.5s
B:7 1.5s
B:(3,#5,b7) 0.5s
B:7 1.5s
B:(3,#5,b7) 0.5s
E:min 1.0s
C#:dim 1.0s
G:7 4.0s
C:maj 2.0s
C:maj6 2.0s
E:min 2.0s
C:maj 0.5s
C:maj7 1.0s
Eb:dim 0.5s
D:min7 0.2s
G:7 5.8s
G:7 4.0s
G:9 2.0s
G:7 2.0s
D:min7 0.5s
G:7 1.5s
C:maj 0.5s
C:maj6 1.5s
C:maj6 6.0s
C:maj 2.0s
C:7 2.0s
F:maj 2.0s
F:min 2.0s
C:maj 2.0s
F:min6 2.0s
C:maj 4.0s
F:min 4.0s
C:maj 3.5s
Eb:dim 0.5s
G:7 3.5s
G:9(#5) 0.5s
C:maj 1.0s
F:min 1.0s
C:maj 1.0s
F:min 1.0s
C:maj 1.0s
F:min 1.0s
C:maj 2.0s
