id,key,chords
2014,C:major,"F#:hdim7 2.0s, C:maj/5 1.0s, Eb:maj 1.0s, F#:hdim7 2.0s, C:maj/5 1.0s, A:maj 1.0s, D:min 1.0s, A:min/4 0.5s, D:min 0.5s, A:min7/4 0.5s, D:min 0.5s, A:min/4 1.0s, F#:hdim7 1.0s, G:(5) 1.0s, F:maj/9 1.0s, G:maj 1.0s, F:maj 4.0s, F:maj7 1.5s, F:maj6 0.5s, F#:hdim7 2.0s, F:maj 4.0s, F:maj/9 2.0s, C:maj 2.0s"
1533,G:major,"G:maj 8.0s, D:maj 4.0s, G:maj 4.0s, G:maj 8.0s, D:maj 4.0s, G:maj 4.0s, C:maj 2.0s, D:maj 2.0s, G:maj 2.0s, E:min 2.0s, C:maj 2.0s, D:maj 2.0s, G:maj 2.0s, E:min 2.0s, C:maj 2.0s, D:7 2.0s, G:maj 4.0s"
6213,Eb:major,"Bb:7 0.5s, F:7 0.5s, Bb:7 0.5s, Eb:maj 1.5s, Eb:7 0.5s, Ab:maj 1.5s, Ab:min6 0.5s, Eb:maj 0.5s, Eb:7 1.5s, Ab:7 2.0s, Eb:maj 1.0s, Eb:7 1.0s, Ab:7 1.5s, Bb:7 0.5s, Eb:maj 1.0s, F:7 1.0s, Bb:7 1.0s, F:7 0.5s, Bb:7 0.5s, Eb:maj 1.5s, Eb:7 0.5s, Ab:maj 1.5s, Ab:min6 0.5s, Eb:maj 0.5s, Eb:7 1.5s, Ab:7 2.0s, Eb:maj 1.0s, Eb:7 1.0s, Ab:7 1.5s, Bb:7 0.5s, Eb:maj 1.0s, F:7 2.0s, D:7 1.0s, G:min 3.5s, D:7 0.5s, G:min/5 1.0s, G:min6 1.0s, A:7 1.0s, D:7 1.0s, G:min7 1.0s, C:9 1.0s, C:min7 1.0s, F:(3,5,b7,9,11,13) 1.0s, F:min7 1.5s, Bb:7 1.5s, F:7 0.5s, Bb:7 0.5s, Eb:maj 1.5s, Eb:7 0.5s, Ab:maj 1.5s, Ab:min6 0.5s, Eb:maj 0.5s, Eb:7 1.5s, Ab:7 2.0s, Eb:maj 1.0s, C:min7 1.0s, F:min7 0.5s"
49,C:major,"C:maj 2.0s, F:maj 2.0s, G:maj 2.0s, C:maj 4.0s, F:maj 2.0s, G:maj 2.0s, C:maj 2.0s, C:maj 2.0s, F:maj 2.0s, G:maj 2.0s, C:maj 4.0s, F:maj 2.0s, G:maj 2.0s, C:maj 2.0s, C:maj 2.0s, F:maj 2.0s, G:maj 2.0s, C:maj 4.0s, F:maj 2.0s, G:maj 2.0s, C:maj 2.0s, C:maj 2.0s, F:maj 2.0s, G:maj 2.0s, C:maj 4.0s, F:maj 2.0s"
4347,Eb:major,"Eb:maj 1.0s, G:min7 0.5s, Bb:7 1.2s, Ab:maj 0.2s, F:min7 0.5s, Eb:maj 0.5s, Bb:7 0.8s, Ab:maj 0.2s, Bb:7 0.5s, Eb:maj 0.5s, F:min7 0.5s, Eb:maj 0.5s, Bb:7 0.5s, Eb:maj 1.0s, Bb:maj 1.2s, Ab:maj 0.2s, Bb:7 0.5s, Eb:maj 0.5s, Bb:7 0.8s, Ab:maj 0.2s, Bb:7 0.5s, Eb:maj 0.5s"
5028,Eb:major,"Eb:maj7 1.0s, Ab:maj7 1.0s, Eb:maj7 2.0s, G:min7 2.0s, C:7 2.0s, F:min7 2.0s, Bb:7 2.0s, Eb:maj7 2.0s, F:min7 1.0s, Bb:7 1.0s, Eb:maj7 1.0s, Ab:maj7 1.0s, Eb:maj7 2.0s, G:min7 2.0s, C:7 2.0s, F:min7 2.0s, Bb:7 2.0s, Eb:min7 4.0s, F:min7 2.0s, Bb:7 2.0s, Eb:maj7 3.0s, D:hdim7 0.5s, G:7 0.5s, C:min7 2.0s, Db:min7 1.0s, F#:7 1.0s, B:maj7 2.0s, Bb:(3,#5,b7) 2.0s, Eb:maj7 1.0s, Ab:maj7 1.0s, Eb:maj7 2.0s, G:min7 2.0s, C:min 2.0s, F:min7 0.2s, G:min7 0.5s, Ab:maj7 0.5s, A:dim7 0.5s, Eb:maj7 0.2s, Bb:7 1.0s, Ab:maj7 1.0s"
4424,Bb:major,"Bb:maj 0.9s, B:dim7 0.1s, C:min7 0.8s, E:7 0.2s, F:7 1.0s, Bb:maj 1.9s, B:dim7 0.1s, C:min7 0.8s, E:dim7 0.2s, F:7 1.0s, Bb:maj 1.9s, B:dim7 0.1s, C:min7 0.8s, E:7 0.2s, F:7 1.0s, Bb:maj 1.9s, B:dim7 0.1s, C:min7 0.8s, E:dim7 0.2s, F:7 1.0s, Bb:maj 9.0s, Bb:maj 0.9s, B:dim7 0.1s, C:min7 0.8s, E:7 0.2s, F:7 1.0s, Bb:maj 1.9s, B:dim7 0.1s, C:min7 0.8s, E:dim7 0.2s, F:7 2.0s, Bb:maj 2.0s"
1579,C:major,"C:maj 2.0s, F:maj 1.0s, G:maj 1.0s, C:maj 4.0s, G:maj 2.0s, C:maj 4.0s, G:maj 2.0s, F:maj 2.0s, G:maj 2.0s, C:maj 2.0s, F:maj 1.0s, G:maj 1.0s, C:maj 2.0s"
968,C:major,"C:maj 1.0s, A:min 1.0s, D:min7 1.0s, G:7 1.0s, C:maj 1.0s, A:min 1.0s, D:min7 1.0s, G:7 1.0s, C:maj 1.0s, A:min 1.0s, D:min7 1.0s, G:7 1.0s, C:maj 1.5s, G:7 2.5s, C:maj 1.0s, F:maj 1.0s, C:maj 1.0s, F:maj 1.0s, C:maj 1.0s, A:min7 1.0s, D:min7 1.0s, G:7 1.0s, C:maj 1.0s, F:maj 1.0s, C:maj 1.0s, F:maj 1.0s, G:7 2.5s, G:7 1.5s, C:maj 1.0s, A:min 1.0s, D:min7 1.0s, G:7 1.0s, C:maj 1.0s, A:min 1.0s, D:min7 1.0s, G:7 1.0s, C:maj 1.0s, A:min 1.0s, D:min7 1.0s, G:7 1.0s, C:maj 7.0s, C:maj7 1.0s, F:maj 4.0s, C:maj 1.0s, F:maj 1.0s, C:maj 2.0s"
933,C:major,"C:maj 4.0s, F:maj 2.0s, C:maj 6.0s, D:maj 2.0s, G:7 2.0s, C:maj 4.0s, F:maj 3.0s, C:maj 3.0s, F:maj 2.0s, C:maj 1.0s, G:7 1.0s, C:maj 8.0s, D:maj 1.0s, G:maj 1.0s, C:maj 2.0s, F:maj 2.0s, C:maj 1.0s, G:7 1.0s, C:maj 2.0s, C:maj 4.0s, F:maj 2.0s, C:maj 6.0s"
